Point Time: 2024-03-28T08:00:00+00:00, Value: 959.0
Point Time: 2024-03-28T08:05:00+00:00, Value: 958.9
Point Time: 2024-03-28T08:10:00+00:00, Value: 953.9
Point Time: 2024-03-28T08:15:00+00:00, Value: 955.3
Point Time: 2024-03-28T08:20:00+00:00, Value: 952.5
Point Time: 2024-03-28T08:25:00+00:00, Value: 955.1
Point Time: 2024-03-28T08:30:00+00:00, Value: 956.1
Point Time: 2024-03-28T08:35:00+00:00, Value: 960.1
Point Time: 2024-03-28T08:40:00+00:00, Value: 960.9
Point Time: 2024-03-28T08:45:00+00:00, Value: 955.9
Point Time: 2024-03-28T08:50:00+00:00, Value: 958.0
Point Time: 2024-03-28T08:55:00+00:00, Value: 957.5
Point Time: 2024-03-28T09:00:00+00:00, Value: 959.1
Point Time: 2024-03-28T09:05:00+00:00, Value: 956.3
Point Time: 2024-03-28T09:10:00+00:00, Value: 955.6
Point Time: 2024-03-28T09:15:00+00:00, Value: 952.7
Point Time: 2024-03-28T09:20:00+00:00, Value: 951.9
Point Time: 2024-03-28T09:25:00+00:00, Value: 951.1
Point Time: 2024-03-28T09:30:00+00:00, Value: 951.1
Point Time: 2024-03-28T09:35:00+00:00, Value: 953.6
Point Time: 2024-03-28T09:40:00+00:00, Value: 953.7
Point Time: 2024-03-28T09:45:00+00:00, Value: 954.0
Point Time: 2024-03-28T09:50:00+00:00, Value: 954.1
Point Time: 2024-03-28T09:55:00+00:00, Value: 954.6
Point Time: 2024-03-28T10:00:00+00:00, Value: 957.1
Point Time: 2024-03-28T10:05:00+00:00, Value: 957.8
Point Time: 2024-03-28T10:10:00+00:00, Value: 953.0
Point Time: 2024-03-28T10:15:00+00:00, Value: 952.9
Point Time: 2024-03-28T10:20:00+00:00, Value: 952.7
Point Time: 2024-03-28T10:25:00+00:00, Value: 952.6
Point Time: 2024-03-28T10:30:00+00:00, Value: 952.5
Point Time: 2024-03-28T10:35:00+00:00, Value: 952.6
Point Time: 2024-03-28T10:40:00+00:00, Value: 952.5
Point Time: 2024-03-28T10:45:00+00:00, Value: 952.0
Point Time: 2024-03-28T10:50:00+00:00, Value: 950.7
Point Time: 2024-03-28T10:55:00+00:00, Value: 950.1
Point Time: 2024-03-28T11:00:00+00:00, Value: 944.4
Point Time: 2024-03-28T11:05:00+00:00, Value: 949.1
Point Time: 2024-03-28T11:10:00+00:00, Value: 946.2
Point Time: 2024-03-28T11:15:00+00:00, Value: 950.6
Point Time: 2024-03-28T11:20:00+00:00, Value: 951.1
Point Time: 2024-03-28T11:25:00+00:00, Value: 948.6
Point Time: 2024-03-28T11:30:00+00:00, Value: 947.4
Point Time: 2024-03-28T11:35:00+00:00, Value: 948.4
Point Time: 2024-03-28T11:40:00+00:00, Value: 947.6
Point Time: 2024-03-28T11:45:00+00:00, Value: 948.3
Point Time: 2024-03-28T11:50:00+00:00, Value: 949.6
Point Time: 2024-03-28T11:55:00+00:00, Value: 949.4
Point Time: 2024-03-28T12:00:00+00:00, Value: 946.1
Point Time: 2024-03-28T12:05:00+00:00, Value: 946.8
Point Time: 2024-03-28T12:10:00+00:00, Value: 954.9
Point Time: 2024-03-28T12:15:00+00:00, Value: 956.9
Point Time: 2024-03-28T12:20:00+00:00, Value: 956.2
Point Time: 2024-03-28T12:25:00+00:00, Value: 952.9
Point Time: 2024-03-28T12:30:00+00:00, Value: 954.0
Point Time: 2024-03-28T12:35:00+00:00, Value: 955.4
Point Time: 2024-03-28T12:40:00+00:00, Value: 956.2
Point Time: 2024-03-28T12:45:00+00:00, Value: 957.0
Point Time: 2024-03-28T12:50:00+00:00, Value: 956.1
Point Time: 2024-03-28T12:55:00+00:00, Value: 958.3
Point Time: 2024-03-28T13:00:00+00:00, Value: 957.5
Point Time: 2024-03-28T13:05:00+00:00, Value: 962.7
Point Time: 2024-03-28T13:10:00+00:00, Value: 962.6
Point Time: 2024-03-28T13:15:00+00:00, Value: 965.4
Point Time: 2024-03-28T13:20:00+00:00, Value: 967.0
Point Time: 2024-03-28T13:25:00+00:00, Value: 967.8
Point Time: 2024-03-28T13:30:00+00:00, Value: 969.1
Point Time: 2024-03-28T13:35:00+00:00, Value: 969.5
Point Time: 2024-03-28T13:40:00+00:00, Value: 969.6
Point Time: 2024-03-28T13:45:00+00:00, Value: 970.7
Point Time: 2024-03-28T13:50:00+00:00, Value: 972.1
Point Time: 2024-03-28T13:55:00+00:00, Value: 975.3
Point Time: 2024-03-28T14:00:00+00:00, Value: 973.0
Point Time: 2024-03-28T14:05:00+00:00, Value: 973.9
Point Time: 2024-03-28T14:10:00+00:00, Value: 974.3
Point Time: 2024-03-28T14:15:00+00:00, Value: 970.4
Point Time: 2024-03-28T14:20:00+00:00, Value: 969.9
Point Time: 2024-03-28T14:25:00+00:00, Value: 970.5
Point Time: 2024-03-28T14:30:00+00:00, Value: 971.0
Point Time: 2024-03-28T14:35:00+00:00, Value: 973.1
Point Time: 2024-03-28T14:40:00+00:00, Value: 982.7
Point Time: 2024-03-28T14:45:00+00:00, Value: 986.0
Point Time: 2024-03-28T14:50:00+00:00, Value: 988.2
Point Time: 2024-03-28T14:55:00+00:00, Value: 990.6
Point Time: 2024-03-28T15:00:00+00:00, Value: 989.1
Point Time: 2024-03-28T15:05:00+00:00, Value: 986.1
Point Time: 2024-03-28T15:10:00+00:00, Value: 986.4
